frac01
,Date,XCoord (m),YCoord (m),ZCoord (m),Width (cm),Pressure (BARa),Temperature (deg C),Stress (BARa),Density (Kg/m3),Viscosity (mPa.s),LeakoffMobility (m/day/bar),Conductivity (D.m),Velocity (m/sec),ResPressure (BARa),ResTemperature (deg C),FiltrateThickness (cm),FiltratePressureDrop (bar),EffectiveResStress (bar),EffectiveFracStress (bar),LeakoffPressureDrop (bar),
Centre Node(1),09.12.1997 22:12:00,459352,-7.32599e+06,2735,0.203163,386.075,10.065,373.207,1000.26,0.318,0.171043,708.241,0.378137,339.935,11.655,1.13368,55.5623,33.2722,12.8677,46.1399,
Centre Node(1),05.02.1998 14:35:11,459352,-7.32599e+06,2735,0.0145999,386.695,10.0547,383.818,1000.09,0.318,0.104823,2.39161,0.251669,349.508,10.8229,1.96263,44.6939,34.3095,2.87659,37.1861,
Centre Node(1),12.04.1998 23:29:05,459352,-7.32599e+06,2735,3.048e-07,387.256,10.0513,384.736,1000.23,0.318,0.0867732,2.39161,0.318317,349.9,10.6303,2.37484,36.7878,34.8364,2.51953,37.3559,
Centre Node(1),16.08.1998 08:06:27,459352,-7.32599e+06,2735,3.048e-07,369.704,10.048,385.031,999.891,0.318,0.0661685,2.39161,0.270915,356.062,10.4218,3.12029,36.5477,28.9691,-15.3269,13.6422,
Centre Node(1),18.10.1998 00:25:09,459352,-7.32599e+06,2735,0.0196283,358.935,10.0472,354.586,999.02,0.318,0.059019,2.39161,0.253608,328.444,10.331,3.50965,15.9013,26.1427,4.34837,30.4911,
Centre Node(1),19.12.1998 16:43:50,459352,-7.32599e+06,2735,3.048e-07,359.538,10.046,363.972,999.394,0.318,0.0531779,2.39161,0.23897,346.357,10.1943,3.90434,29.5867,17.6145,-4.43427,13.1802,
Centre Node(1),20.02.1999 09:02:31,459352,-7.32599e+06,2735,0.0654113,356.182,10.046,351.254,998.87,0.318,0.0509413,23.6377,0.306383,332.373,10.2413,4.08035,16.3121,18.8811,4.92782,23.8089,
Centre Node(1),25.06.1999 17:39:53,459352,-7.32599e+06,2735,3.048e-07,356.823,10.0454,358.075,999.279,0.318,0.047726,2.39161,0.213626,345.413,10.1879,4.36182,23.9339,12.6622,-1.25206,11.4101,
Centre Node(1),27.08.1999 09:58:34,459352,-7.32599e+06,2735,0.0611455,348.962,10.0461,344.596,998.538,0.318,0.0454833,19.3081,0.253291,331.773,10.2773,4.58259,12.1052,12.8234,4.36582,17.1892,
Centre Node(1),30.12.1999 18:35:56,459352,-7.32599e+06,2735,3.048e-07,346.141,10.0458,349.588,998.802,0.318,0.0437597,2.39161,0.205237,341.446,10.2272,4.76739,17.4866,8.14196,-3.44711,4.69484,
Centre Node(1),06.09.2000 11:50:41,459352,-7.32599e+06,2735,0.233762,352.457,10.0458,344.958,998.529,0.318,0.0420014,1078.87,0.0488517,337.201,10.2886,4.97238,9.44804,7.75672,7.49942,15.2561,
Centre Node(1),09.01.2001 20:28:03,459352,-7.32599e+06,2735,3.048e-07,357.064,10.0446,355.522,999.055,0.318,0.037812,2.39161,0.149205,349.83,10.2275,5.53701,15.0515,5.69248,1.54212,7.2346,
Centre Node(1),13.03.2001 12:46:44,459352,-7.32599e+06,2735,0.0120971,356.622,10.0443,354.848,998.893,0.318,0.0369852,2.39161,0.0795952,345.34,10.2559,5.66429,10.4831,9.50854,1.7738,11.2823,
Centre Node(1),15.05.2001 05:05:26,459352,-7.32599e+06,2735,3.048e-07,357.873,10.0439,358.476,999.033,0.318,0.0363807,2.39161,0.164569,349.439,10.2206,5.76072,11.5569,9.03685,-0.603314,8.43353,
Centre Node(1),17.09.2001 13:42:48,459352,-7.32599e+06,2735,3.048e-07,359.578,10.0436,359.131,999.025,0.318,0.0358769,2.39161,0.108665,348.804,10.2158,5.84359,9.90427,10.3269,0.44658,10.7734,
Centre Node(1),20.01.2002 22:20:10,459352,-7.32599e+06,2735,3.048e-07,361.355,10.043,361.758,999.11,0.318,0.0347939,2.39161,0.136498,350.695,10.1917,6.02965,11.5023,11.0628,-0.40253,10.6602,
Centre Node(1),26.05.2002 06:57:32,459352,-7.32599e+06,2735,3.048e-07,362.868,10.0425,364.125,999.179,0.318,0.033819,2.39161,0.151089,351.681,10.184,6.20725,11.8582,12.4443,-1.25682,11.1875,
Centre Node(1),28.09.2002 15:34:55,459352,-7.32599e+06,2735,3.048e-07,363.865,10.0422,365.508,999.229,0.318,0.0330033,2.39161,0.118395,351.177,10.1936,6.36387,12.0343,14.3314,-1.64288,12.6885,
Centre Node(1),30.11.2002 07:53:36,459352,-7.32599e+06,2735,3.048e-07,364.545,10.0418,367.193,999.262,0.318,0.0321458,2.39161,0.178793,351.841,10.187,6.53685,12.4601,15.3515,-2.64796,12.7035,
Centre Node(1),01.02.2003 00:12:17,459352,-7.32599e+06,2735,3.048e-07,363.627,10.0417,367.714,999.322,0.318,0.0317612,2.39161,0.15142,351.19,10.1908,6.61741,12.7751,16.5245,-4.08718,12.4373,
Centre Node(1),04.04.2003 16:30:58,459352,-7.32599e+06,2735,3.048e-07,365.695,10.0416,368.613,999.379,0.318,0.0313672,2.39161,0.184146,351.767,10.188,6.70203,12.449,16.8459,-2.91809,13.9278,
Centre Node(1),06.06.2003 08:49:39,459352,-7.32599e+06,2735,3.048e-07,365.727,10.0414,369.026,999.322,0.318,0.0309654,2.39161,0.18378,351.64,10.1843,6.7904,13.493,17.3859,-3.29888,14.087,
Centre Node(1),09.10.2003 17:27:02,459352,-7.32599e+06,2735,3.048e-07,365.504,10.0413,369.403,999.384,0.318,0.0305869,2.39161,0.197575,351.087,10.1856,6.87576,13.7367,18.3158,-3.89881,14.417,
Centre Node(1),16.06.2004 10:41:46,459352,-7.32599e+06,2735,3.048e-07,366.158,10.0409,370.272,999.336,0.318,0.0298311,2.39161,0.1477,350.997,10.1814,7.05265,13.933,19.2749,-4.11468,15.1602,
Centre Node(1),19.10.2004 19:19:08,459352,-7.32599e+06,2735,3.048e-07,366.217,10.0402,371.358,999.34,0.318,0.0284053,2.39161,0.13999,349.952,10.1761,7.41172,14.6994,21.4053,-5.14031,16.265,
Centre Node(1),27.06.2005 12:33:53,459352,-7.32599e+06,2735,3.048e-07,366.277,10.0399,371.973,999.343,0.318,0.0277035,2.39161,0.137228,349.601,10.1697,7.60194,15.9773,22.372,-5.69557,16.6764,
Centre Node(1),10.11.2006 23:03:22,459352,-7.32599e+06,2735,3.048e-07,366.061,10.0392,372.701,999.332,0.318,0.0263759,2.39161,0.123303,348.552,10.163,7.98935,16.6566,24.1483,-6.6394,17.5089,
Centre Node(1),01.12.2006,459352,-7.32599e+06,2735,3.048e-07,365.274,10.0381,373.945,999.534,0.318,0.0241579,2.39161,0.192062,346.399,10.1611,8.73137,17.3607,27.5455,-8.6708,18.8747,
Centre Node(1),01.12.2006,459352,-7.32599e+06,2735,3.048e-07,365.274,10.0381,373.945,999.534,0.318,0.0241579,2.39161,0.192062,346.399,10.1611,8.73137,17.3607,27.5455,-8.6708,18.8747,
,Date,XCoord (m),YCoord (m),ZCoord (m),Width (cm),Pressure (BARa),Temperature (deg C),Stress (BARa),Density (Kg/m3),Viscosity (mPa.s),LeakoffMobility (m/day/bar),Conductivity (D.m),Velocity (m/sec),ResPressure (BARa),ResTemperature (deg C),FiltrateThickness (cm),FiltratePressureDrop (bar),EffectiveResStress (bar),EffectiveFracStress (bar),LeakoffPressureDrop (bar),
Internal Node(2),09.12.1997 22:12:00,459353,-7.32599e+06,2737.75,0.214692,386.349,10.0776,374.548,1000.28,0.318,0.21136,835.779,0.558425,337.235,12.5731,0.922452,54.0624,37.313,11.8009,49.1139,
Internal Node(2),05.02.1998 14:35:11,459353,-7.32599e+06,2737.86,0.0319557,387.372,10.0603,384.308,1000.09,0.318,0.129537,2.75609,0.541816,348.331,10.3126,1.61019,45.5135,35.977,3.06492,39.0419,
Internal Node(2),12.04.1998 23:29:05,459353,-7.32599e+06,2738.03,3.048e-07,388.008,10.0582,385.821,1000.27,0.318,0.108826,2.39161,0.49317,349.584,10.1468,1.93867,37.6044,36.2375,2.18693,38.4245,
Internal Node(2),16.08.1998 08:06:27,459353,-7.32599e+06,2738.3,3.048e-07,370.483,10.0526,386.439,999.891,0.318,0.0845194,2.39161,0.406183,356.281,10.0775,2.57414,37.3057,30.158,-15.9554,14.2026,
Internal Node(2),18.10.1998 00:25:09,459353,-7.32599e+06,2738.3,0.0182279,359.713,10.0741,356.566,999.055,0.318,0.0746502,2.39161,0.399063,328.906,10.1393,2.96712,15.9965,27.6602,3.14687,30.807,
Internal Node(2),19.12.1998 16:43:50,459353,-7.32599e+06,2738.33,3.048e-07,360.336,10.061,365.606,999.394,0.318,0.0671088,2.39161,0.368173,346.769,10.0958,3.33974,29.969,18.8364,-5.27016,13.5663,
Internal Node(2),20.02.1999 09:02:31,459353,-7.32599e+06,2738.33,0.0710909,356.625,10.0673,352.812,998.891,0.318,0.0640904,30.3451,0.996201,332.811,10.1162,3.51536,16.5686,20.0016,3.81265,23.8142,
Internal Node(2),25.06.1999 17:39:53,459353,-7.32599e+06,2738.92,3.048e-07,357.721,10.061,359.7,999.279,0.318,0.0638275,2.39161,0.315588,345.977,10.0927,3.64514,24.146,13.7224,-1.97916,11.7433,
Internal Node(2),27.08.1999 09:58:34,459353,-7.32599e+06,2738.81,0.0782147,349.424,10.0703,345.63,998.56,0.318,0.0597016,40.4121,0.727501,332.462,10.1199,3.92288,12.1594,13.168,3.7936,16.9616,
Internal Node(2),30.12.1999 18:35:56,459353,-7.32599e+06,2739.39,3.048e-07,347.193,10.0651,350.662,998.805,0.318,0.0610211,2.39161,0.29857,342.381,10.0999,3.98693,17.3417,8.28087,-3.46939,4.81148,
Internal Node(2),06.09.2000 11:50:41,459353,-7.32599e+06,2739.8,0.277512,352.929,10.0729,345.603,998.554,0.318,0.0609499,1805.07,0.135766,338.059,10.1169,4.13238,9.50737,7.54346,7.32628,14.8697,
Internal Node(2),09.01.2001 20:28:03,459353,-7.32599e+06,2741.59,0.0396045,358.254,10.0657,355.523,999.085,0.318,0.0230041,5.24662,0.34556,351.154,10.0858,4.37345,14.6214,4.36935,2.73073,7.10008,
Internal Node(2),13.03.2001 12:46:44,459353,-7.32599e+06,2741.59,0.0566387,357.527,10.0666,354.265,998.935,0.318,0.0224112,15.3457,0.562818,347.103,10.0941,4.50831,10.016,7.16273,3.26135,10.4241,
Internal Node(2),15.05.2001 05:05:26,459353,-7.32599e+06,2741.59,3.048e-07,359.226,10.0635,357.708,999.073,0.318,0.0220002,2.39161,0.22552,351.123,10.0854,4.60247,10.3723,6.5851,1.51844,8.10353,
Internal Node(2),17.09.2001 13:42:48,459353,-7.32599e+06,2741.59,0.0424055,360.574,10.0628,357.976,999.078,0.318,0.021655,6.44038,0.3058,350.31,10.0832,4.68512,9.11852,7.6661,2.59823,10.2643,
Internal Node(2),20.01.2002 22:20:10,459353,-7.32599e+06,2742.44,0.0313943,362.603,10.0595,360.213,999.172,0.318,0.023673,2.61336,0.198526,352.488,10.0707,4.6921,10.5297,7.72522,2.38994,10.1152,
Internal Node(2),26.05.2002 06:57:32,459353,-7.32598e+06,2743.23,0.0230018,364.297,10.0579,361.973,999.249,0.318,0.0260991,2.39161,0.18688,353.636,10.0622,4.70192,10.8756,8.33745,2.324,10.6614,
Internal Node(2),28.09.2002 15:34:55,459353,-7.32598e+06,2743.24,0.026665,364.901,10.0585,362.816,999.278,0.318,0.0253968,2.39161,0.106679,352.999,10.0622,4.85586,11.1937,9.81749,2.08447,11.902,
Internal Node(2),30.11.2002 07:53:36,459354,-7.32598e+06,2743.87,0.00374847,365.745,10.0576,363.976,999.318,0.318,0.0276662,2.39161,0.131835,353.784,10.0568,4.89136,11.4124,10.1914,1.7688,11.9602,
Internal Node(2),01.02.2003 00:12:17,459354,-7.32598e+06,2743.87,3.048e-07,365.294,10.0577,364.169,999.354,0.318,0.0272634,2.39161,0.211069,353.073,10.0567,4.97084,11.9067,11.096,1.12519,12.2212,
Internal Node(2),04.04.2003 16:30:58,459354,-7.32598e+06,2743.87,0.00668589,366.522,10.0574,364.961,999.416,0.318,0.0268508,2.39161,0.0940554,353.672,10.0564,5.05491,11.7302,11.2894,1.56095,12.8504,
Internal Node(2),06.06.2003 08:49:39,459354,-7.32598e+06,2744.01,3.048e-07,366.441,10.0567,365.159,999.354,0.318,0.0271479,2.39161,0.0772942,353.566,10.0548,5.11187,12.4465,11.593,1.28255,12.8755,
Internal Node(2),09.10.2003 17:27:02,459354,-7.32598e+06,2744.01,3.048e-07,366.367,10.0566,365.269,999.421,0.318,0.0267513,2.39161,0.107006,352.973,10.0547,5.19413,12.6547,12.2962,1.09801,13.3942,
Internal Node(2),16.06.2004 10:41:46,459354,-7.32598e+06,2744.01,3.048e-07,366.765,10.0559,365.862,999.364,0.318,0.0259631,2.39161,0.0480474,352.899,10.0542,5.36529,12.9325,12.9628,0.903322,13.8661,
Internal Node(2),19.10.2004 19:19:08,459354,-7.32598e+06,2744.01,3.048e-07,366.786,10.0547,366.328,999.366,0.318,0.0245119,2.39161,0.0418185,351.835,10.0533,5.7077,13.5434,14.4925,0.458457,14.951,
Internal Node(2),27.06.2005 12:33:53,459354,-7.32598e+06,2744.01,3.048e-07,366.833,10.0536,366.641,999.368,0.318,0.0238104,2.39161,0.0398264,351.491,10.0521,5.88781,14.7958,15.1499,0.19203,15.3419,
Internal Node(2),10.11.2006 23:03:22,459354,-7.32598e+06,2744.01,3.048e-07,366.626,10.0523,366.852,999.358,0.318,0.0225005,2.39161,0.0336846,350.446,10.0511,6.25398,15.4831,16.4059,-0.226119,16.1798,
Internal Node(2),01.12.2006,459354,-7.32598e+06,2744.01,3.048e-07,365.774,10.0511,367.13,999.573,0.318,0.0203622,2.39161,0.064133,348.261,10.0502,6.95193,16.224,18.8689,-1.35635,17.5125,
Internal Node(2),01.12.2006,459354,-7.32598e+06,2744.01,3.048e-07,365.774,10.0511,367.13,999.573,0.318,0.0203622,2.39161,0.064133,348.261,10.0502,6.95193,16.224,18.8689,-1.35635,17.5125,
,Date,XCoord (m),YCoord (m),ZCoord (m),Width (cm),Pressure (BARa),Temperature (deg C),Stress (BARa),Density (Kg/m3),Viscosity (mPa.s),LeakoffMobility (m/day/bar),Conductivity (D.m),Velocity (m/sec),ResPressure (BARa),ResTemperature (deg C),FiltrateThickness (cm),FiltratePressureDrop (bar),EffectiveResStress (bar),EffectiveFracStress (bar),LeakoffPressureDrop (bar),
Internal Node(3),09.12.1997 22:12:00,459354,-7.32599e+06,2736.66,0.217377,386.231,10.0776,373,1000.27,0.318,0.211058,867.532,0.214156,336.393,12.3051,0.918064,56.2871,36.6071,13.2318,49.8389,
Internal Node(3),05.02.1998 14:35:11,459354,-7.32599e+06,2737.25,0.0282413,386.673,10.0603,383.591,1000.09,0.318,0.132589,2.39161,0.193155,347.788,10.4025,1.56185,46.2791,35.8028,3.08283,38.8857,
Internal Node(3),12.04.1998 23:29:05,459355,-7.32599e+06,2737.72,3.048e-07,387.166,10.0582,385.228,1000.23,0.318,0.114114,2.39161,0.208694,348.846,10.2115,1.83241,37.9522,36.3826,1.93781,38.3205,
Internal Node(3),16.08.1998 08:06:27,459355,-7.32599e+06,2738.03,3.048e-07,369.689,10.0526,385.831,999.891,0.318,0.0865555,2.39161,0.174937,355.437,10.099,2.46583,37.8083,30.3941,-16.1425,14.2516,
Internal Node(3),18.10.1998 00:25:09,459355,-7.32599e+06,2738.02,0.0228391,358.911,10.0741,355.876,999.023,0.318,0.0751982,2.39161,0.172664,328.512,10.1538,2.88064,16.3007,27.3644,3.03443,30.3988,
Internal Node(3),19.12.1998 16:43:50,459356,-7.32599e+06,2738.33,3.048e-07,359.586,10.061,365.123,999.394,0.318,0.0692069,2.39161,0.157074,346.021,10.1017,3.18087,30.5803,19.1026,-5.53722,13.5653,
Internal Node(3),20.02.1999 09:02:31,459356,-7.32599e+06,2738.32,0.0734611,356.424,10.0673,352.399,998.881,0.318,0.0657377,33.4826,0.253158,332.532,10.1282,3.3655,16.8407,19.8668,4.02525,23.892,
Internal Node(3),25.06.1999 17:39:53,459356,-7.32599e+06,2738.6,3.048e-07,356.937,10.061,359.057,999.279,0.318,0.0630752,2.39161,0.132659,345.436,10.1023,3.56246,24.569,13.6211,-2.12045,11.5006,
Internal Node(3),27.08.1999 09:58:34,459357,-7.32599e+06,2738.57,0.0818295,349.205,10.0703,345.14,998.55,0.318,0.0593299,46.2781,0.245973,332.311,10.1449,3.81922,12.2438,12.8289,4.06427,16.8932,
Internal Node(3),30.12.1999 18:35:56,459357,-7.32599e+06,2739.04,3.048e-07,346.345,10.0651,350.123,998.805,0.318,0.059599,2.39161,0.123888,341.956,10.1132,3.90959,17.6081,8.1664,-3.77798,4.38841,
Internal Node(3),06.09.2000 11:50:41,459357,-7.32599e+06,2739.22,0.276558,352.869,10.0729,345.141,998.545,0.318,0.0577837,1786.51,0.0502581,337.825,10.1415,4.09511,9.55761,7.31593,7.72785,15.0438,
Internal Node(3),09.01.2001 20:28:03,459358,-7.326e+06,2740.19,0.0265492,357.406,10.0657,355.541,999.078,0.318,0.0567941,2.39161,0.0801013,350.903,10.1061,4.50612,14.729,4.63732,1.86512,6.50244,
Internal Node(3),13.03.2001 12:46:44,459358,-7.326e+06,2740.19,0.0601587,356.99,10.0666,354.296,998.91,0.318,0.055307,18.3883,0.172623,346.473,10.1313,4.6479,10.2637,7.82376,2.69358,10.5173,
Internal Node(3),15.05.2001 05:05:26,459359,-7.326e+06,2740.04,3.048e-07,358.191,10.0635,357.809,999.05,0.318,0.0533459,2.39161,0.0948542,350.489,10.1182,4.76647,10.8773,7.31963,0.38267,7.7023,
Internal Node(3),17.09.2001 13:42:48,459359,-7.326e+06,2740.04,0.0343934,359.901,10.0628,358.231,999.04,0.318,0.0524528,3.43614,0.0711521,349.777,10.1201,4.85418,9.39518,8.45429,1.66986,10.1242,
Internal Node(3),20.01.2002 22:20:10,459359,-7.326e+06,2740.04,0.0160658,361.662,10.0595,360.652,999.125,0.318,0.050618,2.39161,0.0698229,351.649,10.1077,5.04629,11.0482,9.00255,1.01013,10.0127,
Internal Node(3),26.05.2002 06:57:32,459359,-7.326e+06,2740.28,3.048e-07,363.192,10.0579,362.699,999.195,0.318,0.0502127,2.39161,0.0773277,352.632,10.0995,5.18913,11.4538,10.0671,0.492803,10.5599,
Internal Node(3),28.09.2002 15:34:55,459359,-7.326e+06,2740.31,3.048e-07,364.169,10.0585,363.826,999.244,0.318,0.0489939,2.39161,0.0461299,352.123,10.1001,5.34971,11.6346,11.7031,0.343346,12.0464,
Internal Node(3),30.11.2002 07:53:36,459359,-7.326e+06,2740.42,3.048e-07,364.758,10.0576,365.326,999.272,0.318,0.048094,2.39161,0.0690758,352.811,10.0937,5.50778,12.0001,12.5149,-0.567727,11.9472,
Internal Node(3),01.02.2003 00:12:17,459358,-7.326e+06,2740.44,3.048e-07,364.003,10.0577,365.679,999.336,0.318,0.0475705,2.39161,0.0883882,352.16,10.0937,5.59053,12.3122,13.5184,-1.67603,11.8423,
Internal Node(3),04.04.2003 16:30:58,459358,-7.326e+06,2740.45,3.048e-07,365.819,10.0574,366.526,999.4,0.318,0.0469385,2.39161,0.0604581,352.746,10.0915,5.6772,12.0203,13.7801,-0.706257,13.0739,
Internal Node(3),06.06.2003 08:49:39,459358,-7.326e+06,2740.45,3.048e-07,365.829,10.0567,366.86,999.328,0.318,0.0462841,2.39161,0.0580416,352.612,10.0892,5.76694,12.9491,14.2483,-1.03108,13.2172,
Internal Node(3),09.10.2003 17:27:02,459358,-7.326e+06,2740.46,3.048e-07,365.605,10.0566,367.107,999.405,0.318,0.045672,2.39161,0.0651232,352.043,10.0892,5.85329,13.1869,15.0644,-1.50226,13.5621,
Internal Node(3),16.06.2004 10:41:46,459358,-7.326e+06,2740.46,3.048e-07,366.307,10.0559,367.857,999.342,0.318,0.0444019,2.39161,0.0514364,351.955,10.0872,6.03286,13.3928,15.9018,-1.54976,14.352,
Internal Node(3),19.10.2004 19:19:08,459358,-7.326e+06,2740.46,3.048e-07,366.378,10.0547,368.668,999.347,0.318,0.0420732,2.39161,0.0512134,350.91,10.0844,6.39491,14.1482,17.7575,-2.2901,15.4674,
Internal Node(3),27.06.2005 12:33:53,459358,-7.326e+06,2740.46,3.048e-07,366.442,10.0536,369.145,999.35,0.318,0.0409375,2.39161,0.0512939,350.557,10.0814,6.58551,15.4316,18.5879,-2.70238,15.8855,
Internal Node(3),10.11.2006 23:03:22,459358,-7.326e+06,2740.47,3.048e-07,366.25,10.0523,369.639,999.341,0.318,0.0388269,2.39161,0.0480579,349.512,10.0785,6.97207,16.1185,20.1262,-3.38872,16.7375,
Internal Node(3),01.12.2006,459358,-7.326e+06,2740.48,3.048e-07,365.343,10.0511,370.472,999.558,0.318,0.0353239,2.39161,0.0641843,347.393,10.0771,7.70754,16.8,23.0796,-5.12944,17.9501,
Internal Node(3),01.12.2006,459358,-7.326e+06,2740.48,3.048e-07,365.343,10.0511,370.472,999.558,0.318,0.0353239,2.39161,0.0641843,347.393,10.0771,7.70754,16.8,23.0796,-5.12944,17.9501,
,Date,XCoord (m),YCoord (m),ZCoord (m),Width (cm),Pressure (BARa),Temperature (deg C),Stress (BARa),Density (Kg/m3),Viscosity (mPa.s),LeakoffMobility (m/day/bar),Conductivity (D.m),Velocity (m/sec),ResPressure (BARa),ResTemperature (deg C),FiltrateThickness (cm),FiltratePressureDrop (bar),EffectiveResStress (bar),EffectiveFracStress (bar),LeakoffPressureDrop (bar),
Internal Node(4),09.12.1997 22:12:00,459355,-7.32599e+06,2735.5,0.192545,386.115,10.0776,371.449,1000.27,0.318,0.237456,602.9,0.0983409,334.378,12.3434,0.811538,59.0405,37.0713,14.6652,51.7365,
Internal Node(4),05.02.1998 14:35:11,459356,-7.32599e+06,2735.66,0.02272,386.431,10.0603,381.775,1000.09,0.318,0.128699,2.39161,0.0911803,347.496,10.2669,1.59119,48.0086,34.2797,4.65553,38.9353,
Internal Node(4),12.04.1998 23:29:05,459357,-7.32599e+06,2735.84,0.00197639,386.87,10.0582,382.871,1000.21,0.318,0.0661678,2.39161,0.124015,348.346,10.1068,1.94946,39.5625,34.525,3.99878,38.5238,
Internal Node(4),16.08.1998 08:06:27,459357,-7.326e+06,2736.12,3.048e-07,369.36,10.0526,383.614,999.891,0.318,0.05734,2.39161,0.0841332,354.701,10.0909,2.69284,38.9637,28.9136,-14.2545,14.6592,
Internal Node(4),18.10.1998 00:25:09,459357,-7.326e+06,2736.13,0.0307914,358.601,10.0741,353.38,999.011,0.318,0.0626429,2.46566,0.0904544,327.96,10.1803,3.15611,16.8344,25.4196,5.22108,30.6407,
Internal Node(4),19.12.1998 16:43:50,459358,-7.326e+06,2736.32,3.048e-07,359.255,10.061,362.71,999.394,0.318,0.0566078,2.39161,0.0717935,345.09,10.1179,3.50461,31.3589,17.62,-3.45534,14.1647,
Internal Node(4),20.02.1999 09:02:31,459358,-7.326e+06,2736.33,0.0730936,356.185,10.0673,350.116,998.869,0.318,0.0544967,32.9825,0.112585,331.952,10.1602,3.70127,17.2517,18.1641,6.0689,24.233,
Internal Node(4),25.06.1999 17:39:53,459360,-7.326e+06,2736.62,3.048e-07,356.625,10.061,356.881,999.279,0.318,0.0525426,2.39161,0.0511655,344.569,10.1257,3.86795,25.2239,12.3111,-0.256004,12.0551,
Internal Node(4),27.08.1999 09:58:34,459360,-7.326e+06,2736.51,0.0741946,348.958,10.0703,343.448,998.539,0.318,0.0499715,34.4956,0.109535,331.798,10.1963,4.1492,12.4416,11.6499,5.50982,17.1597,
Internal Node(4),30.12.1999 18:35:56,459360,-7.326e+06,2736.76,3.048e-07,346.018,10.0651,348.365,998.805,0.318,0.0490832,2.39161,0.0413177,341.053,10.1478,4.25311,18.1392,7.31209,-2.34662,4.96546,
Internal Node(4),06.09.2000 11:50:41,459361,-7.326e+06,2736.85,0.228583,352.636,10.0729,343.839,998.532,0.318,0.0481416,1008.73,0.0296422,337.183,10.1959,4.35412,9.74625,6.65534,8.79729,15.4526,
Internal Node(4),09.01.2001 20:28:03,459363,-7.32601e+06,2737.08,0.00892447,356.993,10.0657,355.088,999.064,0.318,0.0440726,2.39161,0.0321559,350.082,10.1442,4.81548,15.2465,5.00656,1.90415,6.91071,
Internal Node(4),13.03.2001 12:46:44,459363,-7.32601e+06,2737.02,0.0419611,356.623,10.0666,354.178,998.893,0.318,0.0426621,6.24004,0.0398281,345.428,10.1977,4.9691,10.7039,8.74917,2.44572,11.1949,
Internal Node(4),15.05.2001 05:05:26,459364,-7.32601e+06,2737.25,3.048e-07,357.811,10.0635,357.763,999.035,0.318,0.0432646,2.39161,0.0332223,349.57,10.1676,4.93648,11.694,8.19294,0.0483311,8.24127,
Internal Node(4),17.09.2001 13:42:48,459364,-7.32601e+06,2737.21,0.013426,359.554,10.0628,358.439,999.024,0.318,0.0423155,2.39161,0.0274629,349.004,10.1767,5.04144,9.95026,9.43565,1.11484,10.5505,
Internal Node(4),20.01.2002 22:20:10,459364,-7.32601e+06,2737.25,3.048e-07,361.31,10.0595,360.967,999.108,0.318,0.0407612,2.39161,0.0294011,350.766,10.1563,5.24714,11.7097,10.2009,0.343146,10.544,
Internal Node(4),26.05.2002 06:57:32,459364,-7.32601e+06,2737.42,3.048e-07,362.809,10.0579,363.23,999.177,0.318,0.0398343,2.39161,0.0322318,351.713,10.1489,5.41698,12.1267,11.5166,-0.42086,11.0957,
Internal Node(4),28.09.2002 15:34:55,459364,-7.32601e+06,2737.57,3.048e-07,363.8,10.0585,364.576,999.227,0.318,0.0389984,2.39161,0.0339383,351.281,10.1525,5.58158,12.2188,13.2951,-0.776392,12.5187,
Internal Node(4),30.11.2002 07:53:36,459364,-7.32601e+06,2737.68,3.048e-07,364.304,10.0576,366.229,999.251,0.318,0.0379842,2.39161,0.0540862,351.966,10.1403,5.76867,12.6201,14.2628,-1.92488,12.3379,
Internal Node(4),01.02.2003 00:12:17,459363,-7.32601e+06,2737.81,3.048e-07,363.631,10.0577,366.685,999.319,0.318,0.0377631,2.39161,0.0294872,351.351,10.1408,5.84659,12.8235,15.3345,-3.05427,12.2803,
Internal Node(4),04.04.2003 16:30:58,459363,-7.32601e+06,2737.88,3.048e-07,365.318,10.0574,367.561,999.386,0.318,0.0373753,2.39161,0.068808,351.937,10.1354,5.93416,12.5358,15.6239,-2.24274,13.3812,
Internal Node(4),06.06.2003 08:49:39,459363,-7.32601e+06,2737.94,3.048e-07,365.335,10.0567,367.942,999.306,0.318,0.0369659,2.39161,0.0718806,351.806,10.1306,6.02184,13.4733,16.1358,-2.60627,13.5295,
Internal Node(4),09.10.2003 17:27:02,459363,-7.32601e+06,2737.98,3.048e-07,365.096,10.0566,368.283,999.39,0.318,0.0365171,2.39161,0.073512,351.259,10.1306,6.11169,13.7089,17.0242,-3.18702,13.8372,
Internal Node(4),16.06.2004 10:41:46,459363,-7.32601e+06,2738,3.048e-07,365.864,10.0559,369.141,999.321,0.318,0.035493,2.39161,0.0642729,351.164,10.1261,6.30163,13.8826,17.9768,-3.27652,14.7003,
Internal Node(4),19.10.2004 19:19:08,459363,-7.32601e+06,2738.02,3.048e-07,365.948,10.0547,370.208,999.327,0.318,0.0335219,2.39161,0.0625966,350.129,10.121,6.689,14.7097,20.0791,-4.25951,15.8196,
Internal Node(4),27.06.2005 12:33:53,459363,-7.32601e+06,2738.03,3.048e-07,366.017,10.0536,370.793,999.33,0.318,0.0325819,2.39161,0.0616975,349.763,10.1155,6.89193,16.0156,21.0305,-4.77578,16.2547,
